37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37
37,37,37,37,37,37,37,37,37,37,37,9,34,34,34,34,34,34,34,34,34,34,11,37,37,37,37,37,37,37,37,37
37,37,37,37,37,37,37,37,37,37,37,20,0,2,2,2,2,2,2,2,2,4,16,37,37,37,37,37,37,37,37,37
37,37,37,37,37,37,37,37,37,37,37,20,16,37,37,37,37,37,37,37,37,20,16,37,37,37,37,37,37,37,37,37
37,37,37,37,37,37,37,37,37,37,37,20,16,37,37,37,37,37,37,37,37,20,16,37,37,37,37,37,37,37,37,37
37,37,37,37,37,37,37,37,37,37,37,20,16,37,37,37,37,37,37,37,37,20,16,37,37,37,37,37,37,37,37,18
37,37,37,37,37,37,37,37,37,37,37,20,16,37,37,37,37,37,37,37,37,20,16,37,37,37,37,37,37,37,37,37
34,34,34,34,34,34,34,34,34,34,34,36,16,37,37,37,37,37,37,37,37,20,32,34,34,34,34,34,34,34,34,34
2,2,2,2,2,2,2,2,2,2,2,2,27,37,37,37,37,37,37,37,37,25,2,2,2,2,2,2,2,2,2,2
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,18,37,37,37,37,37,37,37,37,37,37
